,cand_nm,contb_receipt_dt_format,contb_receipt_amt
0,"Obama, Barack",2011-04-04 00:00:00,630805.12
1,"Obama, Barack",2011-04-05 00:00:00,306898.0
2,"Obama, Barack",2011-04-06 00:00:00,246242.59
3,"Obama, Barack",2011-04-07 00:00:00,250836.0
4,"Obama, Barack",2011-04-08 00:00:00,294602.0
5,"Obama, Barack",2011-04-09 00:00:00,105469.0
6,"Obama, Barack",2011-04-10 00:00:00,100373.0
7,"Obama, Barack",2011-04-11 00:00:00,359978.0
8,"Obama, Barack",2011-04-12 00:00:00,396124.45999999996
9,"Obama, Barack",2011-04-13 00:00:00,379979.33
10,"Obama, Barack",2011-04-14 00:00:00,304688.5
11,"Obama, Barack",2011-04-15 00:00:00,401247.0
12,"Obama, Barack",2011-04-16 00:00:00,83308.0
13,"Obama, Barack",2011-04-17 00:00:00,71027.0
14,"Obama, Barack",2011-04-18 00:00:00,492685.37
15,"Obama, Barack",2011-04-19 00:00:00,295374.0
16,"Obama, Barack",2011-04-20 00:00:00,309120.11
17,"Obama, Barack",2011-04-21 00:00:00,299598.0
18,"Obama, Barack",2011-04-22 00:00:00,284180.45
19,"Obama, Barack",2011-04-23 00:00:00,34829.0
20,"Obama, Barack",2011-04-24 00:00:00,36600.0
21,"Obama, Barack",2011-04-25 00:00:00,438522.0
22,"Obama, Barack",2011-04-26 00:00:00,594676.5
23,"Obama, Barack",2011-04-27 00:00:00,182020.0
24,"Obama, Barack",2011-04-28 00:00:00,661121.12
25,"Obama, Barack",2011-04-29 00:00:00,266700.0
26,"Obama, Barack",2011-04-30 00:00:00,101222.0
27,"Obama, Barack",2011-05-01 00:00:00,82644.0
28,"Obama, Barack",2011-05-02 00:00:00,378990.0
29,"Obama, Barack",2011-05-03 00:00:00,257194.11
30,"Obama, Barack",2011-05-04 00:00:00,194263.1
31,"Obama, Barack",2011-05-05 00:00:00,342798.0
32,"Obama, Barack",2011-05-06 00:00:00,346291.0
33,"Obama, Barack",2011-05-07 00:00:00,65178.0
34,"Obama, Barack",2011-05-08 00:00:00,104109.0
35,"Obama, Barack",2011-05-09 00:00:00,302411.0
36,"Obama, Barack",2011-05-10 00:00:00,300983.41
37,"Obama, Barack",2011-05-11 00:00:00,296797.88
38,"Obama, Barack",2011-05-12 00:00:00,246655.0
39,"Obama, Barack",2011-05-13 00:00:00,278284.12
40,"Obama, Barack",2011-05-14 00:00:00,119576.0
41,"Obama, Barack",2011-05-15 00:00:00,55005.0
42,"Obama, Barack",2011-05-16 00:00:00,272832.0
43,"Obama, Barack",2011-05-17 00:00:00,274619.0
44,"Obama, Barack",2011-05-18 00:00:00,309647.52
45,"Obama, Barack",2011-05-19 00:00:00,195651.0
46,"Obama, Barack",2011-05-20 00:00:00,263842.0
47,"Obama, Barack",2011-05-21 00:00:00,26059.0
48,"Obama, Barack",2011-05-22 00:00:00,29978.0
49,"Obama, Barack",2011-05-23 00:00:00,215905.12
50,"Obama, Barack",2011-05-24 00:00:00,153413.84
51,"Obama, Barack",2011-05-25 00:00:00,230547.03
52,"Obama, Barack",2011-05-26 00:00:00,146313.0
53,"Obama, Barack",2011-05-27 00:00:00,172536.0
54,"Obama, Barack",2011-05-28 00:00:00,37096.0
55,"Obama, Barack",2011-05-29 00:00:00,22623.0
56,"Obama, Barack",2011-05-30 00:00:00,33160.0
57,"Obama, Barack",2011-05-31 00:00:00,312563.66
58,"Obama, Barack",2011-06-01 00:00:00,146829.0
59,"Obama, Barack",2011-06-02 00:00:00,373308.0
60,"Obama, Barack",2011-06-03 00:00:00,289922.2
61,"Obama, Barack",2011-06-04 00:00:00,59935.0
62,"Obama, Barack",2011-06-05 00:00:00,51321.0
63,"Obama, Barack",2011-06-06 00:00:00,346956.0
64,"Obama, Barack",2011-06-07 00:00:00,448338.44
65,"Obama, Barack",2011-06-08 00:00:00,368229.0
66,"Obama, Barack",2011-06-09 00:00:00,378194.0
67,"Obama, Barack",2011-06-10 00:00:00,439976.41
68,"Obama, Barack",2011-06-11 00:00:00,118055.0
69,"Obama, Barack",2011-06-12 00:00:00,154709.0
70,"Obama, Barack",2011-06-13 00:00:00,382806.5
71,"Obama, Barack",2011-06-14 00:00:00,362174.0
72,"Obama, Barack",2011-06-15 00:00:00,729010.7000000001
73,"Obama, Barack",2011-06-16 00:00:00,649570.0
74,"Obama, Barack",2011-06-17 00:00:00,324741.0
75,"Obama, Barack",2011-06-18 00:00:00,85229.98999999999
76,"Obama, Barack",2011-06-19 00:00:00,106542.12
77,"Obama, Barack",2011-06-20 00:00:00,255272.0
78,"Obama, Barack",2011-06-21 00:00:00,434834.0
79,"Obama, Barack",2011-06-22 00:00:00,408810.0
80,"Obama, Barack",2011-06-23 00:00:00,332925.13
81,"Obama, Barack",2011-06-24 00:00:00,200972.0
82,"Obama, Barack",2011-06-25 00:00:00,101933.0
83,"Obama, Barack",2011-06-26 00:00:00,114423.0
84,"Obama, Barack",2011-06-27 00:00:00,494015.4
85,"Obama, Barack",2011-06-28 00:00:00,332333.99
86,"Obama, Barack",2011-06-29 00:00:00,673516.0
87,"Obama, Barack",2011-06-30 00:00:00,2193901.12
88,"Obama, Barack",2011-07-01 00:00:00,175264.0
89,"Obama, Barack",2011-07-02 00:00:00,17310.0
90,"Obama, Barack",2011-07-03 00:00:00,6977.0
91,"Obama, Barack",2011-07-04 00:00:00,23396.0
92,"Obama, Barack",2011-07-05 00:00:00,89332.0
93,"Obama, Barack",2011-07-06 00:00:00,97845.73
94,"Obama, Barack",2011-07-07 00:00:00,91466.0
95,"Obama, Barack",2011-07-08 00:00:00,74913.0
96,"Obama, Barack",2011-07-09 00:00:00,7542.0
97,"Obama, Barack",2011-07-10 00:00:00,24306.0
98,"Obama, Barack",2011-07-11 00:00:00,138434.53999999998
99,"Obama, Barack",2011-07-12 00:00:00,142579.56
100,"Obama, Barack",2011-07-13 00:00:00,162753.68
101,"Obama, Barack",2011-07-14 00:00:00,156313.27
102,"Obama, Barack",2011-07-15 00:00:00,143202.0
103,"Obama, Barack",2011-07-16 00:00:00,31928.0
104,"Obama, Barack",2011-07-17 00:00:00,28380.0
105,"Obama, Barack",2011-07-18 00:00:00,121733.44
106,"Obama, Barack",2011-07-19 00:00:00,109180.12
