,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
0,"Obama, Barack",Midwest,2011-04-04 00:00:00,126627.0
1,"Obama, Barack",Midwest,2011-04-05 00:00:00,55845.0
2,"Obama, Barack",Midwest,2011-04-06 00:00:00,39362.59
3,"Obama, Barack",Midwest,2011-04-07 00:00:00,60259.0
4,"Obama, Barack",Midwest,2011-04-08 00:00:00,79953.0
5,"Obama, Barack",Midwest,2011-04-09 00:00:00,31014.0
6,"Obama, Barack",Midwest,2011-04-10 00:00:00,11483.0
7,"Obama, Barack",Midwest,2011-04-11 00:00:00,125142.0
8,"Obama, Barack",Midwest,2011-04-12 00:00:00,108619.0
9,"Obama, Barack",Midwest,2011-04-13 00:00:00,128124.0
10,"Obama, Barack",Midwest,2011-04-14 00:00:00,60984.0
11,"Obama, Barack",Midwest,2011-04-15 00:00:00,88149.0
12,"Obama, Barack",Midwest,2011-04-16 00:00:00,1083.0
13,"Obama, Barack",Midwest,2011-04-17 00:00:00,1265.0
14,"Obama, Barack",Midwest,2011-04-18 00:00:00,61155.25
15,"Obama, Barack",Midwest,2011-04-19 00:00:00,42358.0
16,"Obama, Barack",Midwest,2011-04-20 00:00:00,19485.0
17,"Obama, Barack",Midwest,2011-04-21 00:00:00,33974.0
18,"Obama, Barack",Midwest,2011-04-22 00:00:00,46094.0
19,"Obama, Barack",Midwest,2011-04-23 00:00:00,310.0
20,"Obama, Barack",Midwest,2011-04-24 00:00:00,65.0
21,"Obama, Barack",Midwest,2011-04-25 00:00:00,35206.0
22,"Obama, Barack",Midwest,2011-04-26 00:00:00,45473.0
23,"Obama, Barack",Midwest,2011-04-27 00:00:00,17854.0
24,"Obama, Barack",Midwest,2011-04-28 00:00:00,78426.0
25,"Obama, Barack",Midwest,2011-04-29 00:00:00,21935.0
26,"Obama, Barack",Midwest,2011-04-30 00:00:00,3910.0
27,"Obama, Barack",Midwest,2011-05-01 00:00:00,3350.0
28,"Obama, Barack",Midwest,2011-05-02 00:00:00,47514.0
29,"Obama, Barack",Midwest,2011-05-03 00:00:00,29839.0
30,"Obama, Barack",Midwest,2011-05-04 00:00:00,14109.0
31,"Obama, Barack",Midwest,2011-05-05 00:00:00,45689.0
32,"Obama, Barack",Midwest,2011-05-06 00:00:00,36832.0
33,"Obama, Barack",Midwest,2011-05-07 00:00:00,1850.0
34,"Obama, Barack",Midwest,2011-05-08 00:00:00,6750.0
35,"Obama, Barack",Midwest,2011-05-09 00:00:00,22463.0
36,"Obama, Barack",Midwest,2011-05-10 00:00:00,41660.0
37,"Obama, Barack",Midwest,2011-05-11 00:00:00,24665.0
38,"Obama, Barack",Midwest,2011-05-12 00:00:00,61143.0
39,"Obama, Barack",Midwest,2011-05-13 00:00:00,37875.0
40,"Obama, Barack",Midwest,2011-05-14 00:00:00,18245.0
41,"Obama, Barack",Midwest,2011-05-15 00:00:00,7515.0
42,"Obama, Barack",Midwest,2011-05-16 00:00:00,68351.0
43,"Obama, Barack",Midwest,2011-05-17 00:00:00,36962.0
44,"Obama, Barack",Midwest,2011-05-18 00:00:00,24635.120000000003
45,"Obama, Barack",Midwest,2011-05-19 00:00:00,23799.0
46,"Obama, Barack",Midwest,2011-05-20 00:00:00,21896.0
47,"Obama, Barack",Midwest,2011-05-21 00:00:00,4440.0
48,"Obama, Barack",Midwest,2011-05-22 00:00:00,280.0
49,"Obama, Barack",Midwest,2011-05-23 00:00:00,15460.12
50,"Obama, Barack",Midwest,2011-05-24 00:00:00,17682.84
51,"Obama, Barack",Midwest,2011-05-25 00:00:00,17648.0
52,"Obama, Barack",Midwest,2011-05-26 00:00:00,9925.0
53,"Obama, Barack",Midwest,2011-05-27 00:00:00,9802.0
54,"Obama, Barack",Midwest,2011-05-28 00:00:00,2341.0
55,"Obama, Barack",Midwest,2011-05-29 00:00:00,225.0
56,"Obama, Barack",Midwest,2011-05-30 00:00:00,175.0
57,"Obama, Barack",Midwest,2011-05-31 00:00:00,49742.0
58,"Obama, Barack",Midwest,2011-06-01 00:00:00,11972.0
59,"Obama, Barack",Midwest,2011-06-02 00:00:00,75250.0
60,"Obama, Barack",Midwest,2011-06-03 00:00:00,19617.0
61,"Obama, Barack",Midwest,2011-06-04 00:00:00,1585.0
62,"Obama, Barack",Midwest,2011-06-05 00:00:00,1855.0
63,"Obama, Barack",Midwest,2011-06-06 00:00:00,25506.0
64,"Obama, Barack",Midwest,2011-06-07 00:00:00,39509.0
65,"Obama, Barack",Midwest,2011-06-08 00:00:00,22431.0
66,"Obama, Barack",Midwest,2011-06-09 00:00:00,17180.0
67,"Obama, Barack",Midwest,2011-06-10 00:00:00,16850.0
68,"Obama, Barack",Midwest,2011-06-11 00:00:00,5835.0
69,"Obama, Barack",Midwest,2011-06-12 00:00:00,2613.0
