,cand_nm,contb_receipt_dt_format,contb_receipt_amt
0,"Obama, Barack",2011-04-04 00:00:00,-5500.0
1,"Obama, Barack",2011-04-08 00:00:00,-500.0
2,"Obama, Barack",2011-04-12 00:00:00,-2500.0
3,"Obama, Barack",2011-04-13 00:00:00,-541.0
4,"Obama, Barack",2011-04-14 00:00:00,-1251.0
5,"Obama, Barack",2011-04-15 00:00:00,-1000.0
6,"Obama, Barack",2011-04-16 00:00:00,-1000.0
7,"Obama, Barack",2011-04-17 00:00:00,-225.0
8,"Obama, Barack",2011-04-20 00:00:00,-1700.0
9,"Obama, Barack",2011-04-26 00:00:00,-6178.0
10,"Obama, Barack",2011-04-27 00:00:00,-1300.0
11,"Obama, Barack",2011-04-29 00:00:00,-1220.0
12,"Obama, Barack",2011-04-30 00:00:00,-5640.0
13,"Obama, Barack",2011-05-03 00:00:00,-575.0
14,"Obama, Barack",2011-05-04 00:00:00,-500.0
15,"Obama, Barack",2011-05-05 00:00:00,-600.0
16,"Obama, Barack",2011-05-06 00:00:00,-1100.0
17,"Obama, Barack",2011-05-07 00:00:00,-100.0
18,"Obama, Barack",2011-05-09 00:00:00,-4882.0
19,"Obama, Barack",2011-05-10 00:00:00,-2440.0
20,"Obama, Barack",2011-05-11 00:00:00,-50.0
21,"Obama, Barack",2011-05-12 00:00:00,-250.0
22,"Obama, Barack",2011-05-13 00:00:00,-25.0
23,"Obama, Barack",2011-05-14 00:00:00,-1340.0
24,"Obama, Barack",2011-05-16 00:00:00,-2150.0
25,"Obama, Barack",2011-05-17 00:00:00,-1175.0
26,"Obama, Barack",2011-05-18 00:00:00,-400.0
27,"Obama, Barack",2011-05-19 00:00:00,-100.0
28,"Obama, Barack",2011-05-20 00:00:00,-4700.0
29,"Obama, Barack",2011-05-21 00:00:00,-1500.0
30,"Obama, Barack",2011-05-24 00:00:00,-1850.0
31,"Obama, Barack",2011-05-25 00:00:00,-3146.0
32,"Obama, Barack",2011-05-26 00:00:00,-798.0
33,"Obama, Barack",2011-05-27 00:00:00,-225.0
34,"Obama, Barack",2011-05-28 00:00:00,-1000.0
35,"Obama, Barack",2011-05-29 00:00:00,-500.0
36,"Obama, Barack",2011-05-30 00:00:00,-2500.0
37,"Obama, Barack",2011-05-31 00:00:00,-300.0
38,"Obama, Barack",2011-06-01 00:00:00,-2950.0
39,"Obama, Barack",2011-06-02 00:00:00,-950.0
40,"Obama, Barack",2011-06-03 00:00:00,-270.0
41,"Obama, Barack",2011-06-04 00:00:00,-2300.0
42,"Obama, Barack",2011-06-06 00:00:00,-1000.0
43,"Obama, Barack",2011-06-07 00:00:00,-3950.0
44,"Obama, Barack",2011-06-08 00:00:00,-2819.0
45,"Obama, Barack",2011-06-09 00:00:00,-600.0
46,"Obama, Barack",2011-06-10 00:00:00,-2030.1
47,"Obama, Barack",2011-06-12 00:00:00,-125.0
48,"Obama, Barack",2011-06-14 00:00:00,-750.0
49,"Obama, Barack",2011-06-15 00:00:00,-31950.0
50,"Obama, Barack",2011-06-16 00:00:00,-1995.0
51,"Obama, Barack",2011-06-17 00:00:00,-2300.0
52,"Obama, Barack",2011-06-18 00:00:00,-2295.0
53,"Obama, Barack",2011-06-20 00:00:00,-6350.0
54,"Obama, Barack",2011-06-21 00:00:00,-2775.0
