,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
0,"Obama, Barack",Midwest,2011-04-08 00:00:00,-500.0
1,"Obama, Barack",Midwest,2011-04-12 00:00:00,-2500.0
2,"Obama, Barack",Midwest,2011-04-20 00:00:00,-100.0
3,"Obama, Barack",Midwest,2011-04-27 00:00:00,-100.0
4,"Obama, Barack",Midwest,2011-04-29 00:00:00,-120.0
5,"Obama, Barack",Midwest,2011-04-30 00:00:00,-50.0
6,"Obama, Barack",Midwest,2011-05-03 00:00:00,-575.0
7,"Obama, Barack",Midwest,2011-05-09 00:00:00,-3000.0
8,"Obama, Barack",Midwest,2011-05-12 00:00:00,-150.0
9,"Obama, Barack",Midwest,2011-05-14 00:00:00,-350.0
10,"Obama, Barack",Midwest,2011-05-25 00:00:00,-25.0
11,"Obama, Barack",Midwest,2011-05-27 00:00:00,-225.0
12,"Obama, Barack",Midwest,2011-06-03 00:00:00,-170.0
13,"Obama, Barack",Midwest,2011-06-04 00:00:00,-1100.0
14,"Obama, Barack",Midwest,2011-06-07 00:00:00,-150.0
15,"Obama, Barack",Midwest,2011-06-08 00:00:00,-100.0
16,"Obama, Barack",Midwest,2011-06-12 00:00:00,-100.0
17,"Obama, Barack",Midwest,2011-06-14 00:00:00,-150.0
18,"Obama, Barack",Midwest,2011-06-15 00:00:00,-100.0
19,"Obama, Barack",Midwest,2011-06-18 00:00:00,-990.0
20,"Obama, Barack",Midwest,2011-06-21 00:00:00,-200.0
21,"Obama, Barack",Midwest,2011-06-22 00:00:00,-5525.0
22,"Obama, Barack",Midwest,2011-06-24 00:00:00,-250.0
23,"Obama, Barack",Midwest,2011-06-27 00:00:00,-23796.61
24,"Obama, Barack",Midwest,2011-06-28 00:00:00,-1611.0
25,"Obama, Barack",Midwest,2011-06-29 00:00:00,-23784.73
26,"Obama, Barack",Midwest,2011-06-30 00:00:00,-11816.0
27,"Obama, Barack",Midwest,2011-07-01 00:00:00,-1000.0
28,"Obama, Barack",Midwest,2011-07-03 00:00:00,-495.0
29,"Obama, Barack",Midwest,2011-07-04 00:00:00,-48.0
30,"Obama, Barack",Midwest,2011-07-06 00:00:00,-5000.0
31,"Obama, Barack",Midwest,2011-07-07 00:00:00,-400.0
32,"Obama, Barack",Midwest,2011-07-10 00:00:00,-6000.0
33,"Obama, Barack",Midwest,2011-07-12 00:00:00,-100.0
34,"Obama, Barack",Midwest,2011-07-13 00:00:00,-1000.0
35,"Obama, Barack",Midwest,2011-07-14 00:00:00,-4950.0
36,"Obama, Barack",Midwest,2011-07-18 00:00:00,-100.0
37,"Obama, Barack",Midwest,2011-07-19 00:00:00,-900.0
38,"Obama, Barack",Midwest,2011-07-25 00:00:00,-975.0
39,"Obama, Barack",Midwest,2011-07-26 00:00:00,-200.0
40,"Obama, Barack",Midwest,2011-07-28 00:00:00,-2500.0
41,"Obama, Barack",Midwest,2011-07-30 00:00:00,-2000.0
42,"Obama, Barack",Midwest,2011-08-01 00:00:00,-6392.0
43,"Obama, Barack",Midwest,2011-08-04 00:00:00,-80.0
44,"Obama, Barack",Midwest,2011-08-05 00:00:00,-60.0
45,"Obama, Barack",Midwest,2011-08-08 00:00:00,-1115.0
46,"Obama, Barack",Midwest,2011-08-17 00:00:00,-1979.0
47,"Obama, Barack",Midwest,2011-08-19 00:00:00,-2025.0
48,"Obama, Barack",Midwest,2011-08-22 00:00:00,-350.0
49,"Obama, Barack",Midwest,2011-08-23 00:00:00,-50.0
50,"Obama, Barack",Midwest,2011-08-31 00:00:00,-100.0
