,predict_model0,predict_model1,predict_model2,predict_model3,predict_model4,predict_model5,predict_model6,predict_model7,predict_model8,predict_model9,predict_model10,predict_model11,predict_model12,predict_model13,predict_model14,predict_model15,predict_model16,predict_model17,predict_model18,predict_model19,predict_model20,predict_model21,predict_model22,predict_model23,predict_model24,predict_model25,predict_model26,predict_model27,predict_model28,predict_model29,predict_model30,predict_model31,predict_model32
Alabama,0.276326205353,0.238079884116,0.467993102521,0.284138389343,0.32697797998,0.380220637839,0.20935232658,0.368195531783,0.19901070153,0.367889295823,0.266424367956,0.361079160992,0.275888366421,0.423712904378,0.171526263145,0.359713122701,0.364095461925,0.370242951846,0.362628098073,0.368389362496,0.284441212544,0.340221776575,0.128460221695,0.0663685400202,0.35542379005,0.361211826299,0.311786655227,0.330046842817,0.222080751917,0.17493978459,0.452047363095,0.29988248992,0.469795880852
Alaska,0.634747129976,0.912611213992,0.569179421545,0.755983283554,0.5266057592,0.542700806014,0.805963848043,0.57276748611,0.840280047569,0.57105034765,0.763640196079,0.585297626246,0.753561780675,0.403673226188,0.782521836623,0.596933803671,0.52073497922,0.570256240957,0.460182612003,0.57299348516,0.585145119504,0.556000332042,0.53798758934,0.646943695802,0.471591430998,0.582700642053,0.556853887488,0.659963657445,0.677823398427,0.476103333132,0.506501179415,0.500974999815,0.51875037968
Arizona,0.396194864426,0.244331016916,0.47515951868,0.235610545983,0.376873630067,0.335319791694,0.358419409506,0.316927012576,0.343197704684,0.317069666283,0.365353574103,0.309872953633,0.380433718096,0.344466229472,0.273727371349,0.321424029338,0.378436911282,0.336964107792,0.371031007731,0.3227942323,0.363875284538,0.369883437468,0.350637411167,0.172221682279,0.454712235044,0.313833586132,0.385429159267,0.263997695546,0.392083219837,0.478674818638,0.547730412578,0.4603190802,0.537278099608
Arkansas,0.312397783701,0.275857425435,0.493446383222,0.27744906259,0.343168639586,0.36617787524,0.271156548005,0.355279132122,0.270507826289,0.354128858241,0.317400042852,0.347429144272,0.326263861871,0.403269302126,0.235959267306,0.351530096923,0.377901474414,0.364264772301,0.38559125894,0.356096561376,0.3148365667,0.368030318817,0.221026579398,0.0942749449911,0.381092944257,0.351181148101,0.332716714943,0.3133272719,0.285610593654,0.231775370925,0.469905777418,0.343159187555,0.486133854517
California,0.841012076355,0.922617711688,0.585820708702,0.867129958213,0.765465160749,0.657855859809,0.806108850158,0.660360047207,0.64127131239,0.671564658819,0.614985546579,0.685815839909,0.604381833949,0.496765777706,0.713547242721,0.681508239556,0.561917614746,0.660679534048,0.720166464431,0.670796474318,0.809080307337,0.580968063905,0.71760741651,0.916056747053,0.61211690858,0.683008899086,0.786197376604,0.785949370603,0.836109706369,0.75930631643,0.559041910634,0.576887512864,0.541337449329
Colorado,0.531087430456,0.502822773447,0.521104883849,0.39272012213,0.467001735528,0.401279887762,0.511337952556,0.396716564046,0.522581055811,0.396980703735,0.49933797042,0.393459010722,0.490278010551,0.387749566825,0.485830208712,0.404174269594,0.455361827426,0.408902917659,0.442637713483,0.391293868867,0.489897307932,0.46380939555,0.633421880381,0.600761001098,0.583408237008,0.406188935525,0.453303052571,0.394297553898,0.473858448317,0.476529189553,0.547942758055,0.491600843063,0.54169399285
Connecticut,0.896437144483,0.607709859641,0.569939411372,0.886108245726,0.915040016341,0.720059239428,0.954465302345,0.75519239649,0.976531791797,0.752829422044,0.96079212138,0.766112440223,0.954072287781,0.675555470086,0.967278710052,0.749778056435,0.953034070644,0.717111229887,0.934998193949,0.744532026507,0.907117948619,0.66274061688,0.986491840157,0.982671888164,0.803315212105,0.751192186806,0.909708633555,0.830249320955,0.897831899603,0.773039256216,0.586492688877,0.594184264262,0.553100807078
Delaware,0.903148860173,0.821530225232,0.610705765125,0.862033046274,0.877426313099,0.679140647538,0.872534398132,0.716321442243,0.926792896032,0.712729918124,0.871086229671,0.72608109933,0.855104314077,0.613822954397,0.888072188197,0.705528203837,0.910064762341,0.670526238462,0.857642014704,0.714829477584,0.885952726562,0.585667720603,0.888944690431,0.918764619481,0.642736960989,0.701204857606,0.879490651512,0.789168702414,0.903696828813,0.740166182865,0.567668301754,0.558799886448,0.540427387599
Florida,0.600374461136,0.286115049007,0.499980211609,0.480128713429,0.63563756041,0.478620088686,0.644348588543,0.468072579364,0.604953280704,0.476750993432,0.679817205242,0.495545556255,0.741864648787,0.566683844377,0.803276428524,0.469391736678,0.596957574792,0.47115261992,0.644536178941,0.502329225333,0.588180129804,0.459347008461,0.730741383709,0.627882758689,0.619867028819,0.473581085504,0.630352899523,0.476523334762,0.580581826235,0.728003592501,0.598252565179,0.557483698827,0.560851705822
Georgia,0.488131651579,0.316770248915,0.518717589135,0.365395573603,0.502394361081,0.414914687097,0.424288611702,0.402809463279,0.395889135152,0.403784333862,0.422694127609,0.39587204669,0.410915060364,0.365036437188,0.213062693792,0.401070441479,0.498859414986,0.407880111742,0.503108094097,0.392807711438,0.492982678961,0.358737648301,0.210821607616,0.0652893103676,0.318818981079,0.401546571331,0.497725249851,0.386216332831,0.444037899917,0.241680571148,0.468904702895,0.327999414405,0.477255638498
